nome_completo_do_carro,ano_de_venda,preco_de_venda_USD,kilometragem,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,assentos,Marca
Mahindra XUV500 W6 2WD,2011,6506.85,108000,Diesel,Distribuidora,Manual,1º dono,16.0,2179.0,140.0,7.0,Mahindra
Renault Duster 85PS Diesel RxL,2015,6643.82,75000,Diesel,Distribuidora,Manual,1º dono,19.87,1461.0,83.8,5.0,Renault
Maruti Ciaz Delta BSIV,2018,8904.11,22000,Gasolina,Individual,Manual,2º dono,21.56,1462.0,103.25,5.0,Maruti
Audi Q5 3.0 TDI Quattro,2014,25342.47,76131,Diesel,Individual,Automatico,1º dono,13.22,2967.0,241.4,5.0,Audi
Hyundai i20 1.2 Asta,2018,9589.04,30000,Gasolina,Individual,Manual,2º dono,18.6,1197.0,81.83,5.0,Hyundai
Audi Q7 3.0 TDI Quattro,2014,41095.89,65000,Diesel,Individual,Automatico,1º dono,12.07,2967.0,241.4,7.0,Audi
Mahindra Scorpio S3 9 Seater BSIV,2018,12328.77,60000,Diesel,Individual,Manual,1º dono,15.4,2523.0,75.0,7.0,Mahindra
Volkswagen Polo Diesel Highline 1.2L,2013,4794.52,80000,Diesel,Individual,Manual,1º dono,22.07,1199.0,73.9,5.0,Volkswagen
Honda Accord V6 AT,2005,3904.11,80000,Gasolina,Individual,Automatico,2º dono,9.0,2997.0,218.0,5.0,Honda
Audi Q7 3.0 TDI Quattro Premium Plus,2012,25342.47,70000,Diesel,Individual,Automatico,1º dono,12.07,2967.0,241.4,7.0,Audi
Maruti Vitara Brezza VDi,2017,10273.97,51777,Diesel,Distribuidora,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Land Rover Freelander 2 TD4 HSE,2013,22602.74,64788,Diesel,Distribuidora,Automatico,1º dono,0.0,2179.0,115.0,5.0,Land
Honda Amaze V Petrol BSIV,2018,8219.18,20000,Gasolina,Individual,Manual,1º dono,19.5,1199.0,88.76,5.0,Honda
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,7739.73,19000,Gasolina,Individual,Manual,1º dono,18.78,999.0,75.0,5.0,Volkswagen
Daewoo Matiz SS,2000,1178.08,46951,Gasolina,Individual,Manual,1º dono,18.5,796.0,53.0,5.0,Daewoo
Datsun GO T BSIV,2016,4506.85,19000,Gasolina,Individual,Manual,1º dono,20.63,1198.0,67.0,5.0,Datsun
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,8904.11,50000,Diesel,Individual,Manual,1º dono,22.77,1498.0,98.59,5.0,Ford
Hyundai Creta 1.6 CRDi SX Option,2015,11260.27,60000,Diesel,Individual,Manual,1º dono,19.67,1582.0,126.2,5.0,Hyundai
Renault Duster 110PS Diesel RxL,2013,4726.03,100000,Diesel,Individual,Manual,2º dono,19.01,1461.0,108.45,5.0,Renault
Maruti Zen LXI,2001,410.96,10000,Gasolina,Individual,Manual,1º dono,17.3,993.0,60.0,5.0,Maruti
Maruti Swift VDI,2012,4520.55,50000,Diesel,Individual,Manual,2º dono,22.9,1248.0,74.0,5.0,Maruti
Maruti Wagon R Stingray VXI,2014,4109.59,74537,Gasolina,Individual,Manual,2º dono,20.51,998.0,67.04,5.0,Maruti
Maruti SX4 ZXI AT,2009,2739.73,90000,Gasolina,Individual,Automatico,2º dono,12.6,1586.0,103.3,5.0,Maruti
Chevrolet Spark 1.0,2010,1232.88,70000,Gasolina,Individual,Manual,2º dono,18.0,995.0,62.0,5.0,Chevrolet
Maruti Wagon R VXI Minor,2010,2739.73,80000,Gasolina,Individual,Manual,2º dono,18.9,1061.0,67.0,5.0,Maruti
Hyundai Xcent 1.1 CRDi SX,2016,7534.25,35000,Diesel,Individual,Manual,1º dono,24.4,1120.0,71.0,5.0,Hyundai
Chevrolet Beat LT,2015,3424.66,23500,Gasolina,Individual,Manual,1º dono,18.6,1199.0,76.8,5.0,Chevrolet
Honda City i-DTEC VX,2017,13356.16,82000,Diesel,Individual,Manual,1º dono,25.6,1498.0,97.9,5.0,Honda
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,12328.77,100000,Diesel,Individual,Manual,2º dono,12.99,2494.0,100.6,8.0,Toyota
Hyundai i20 1.2 Spotz,2018,8356.16,15000,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.83,5.0,Hyundai
Maruti Baleno Zeta 1.3,2017,8493.15,30000,Diesel,Individual,Manual,1º dono,27.39,1248.0,74.0,5.0,Maruti
Hyundai Grand i10 Sportz,2016,5479.45,30000,Gasolina,Individual,Manual,1º dono,18.9,1197.0,82.0,5.0,Hyundai
Maruti Celerio X ZXI BSIV,2019,6849.32,11000,Gasolina,Individual,Manual,1º dono,21.63,998.0,67.0,5.0,Maruti
Datsun GO Plus T,2017,2739.73,140000,Gasolina,Individual,Manual,1º dono,19.02,1198.0,67.05,7.0,Datsun
Tata Zest Quadrajet 1.3 XM,2016,4931.51,110000,Diesel,Individual,Manual,1º dono,23.0,1248.0,88.7,5.0,Tata
Maruti Alto K10 2010-2014 VXI,2012,3452.05,48000,Gasolina,Individual,Manual,1º dono,20.92,998.0,67.1,5.0,Maruti
Maruti Swift VDI,2012,3835.62,70000,Diesel,Individual,Manual,2º dono,22.9,1248.0,74.0,5.0,Maruti
Maruti Swift VXI 2018,2018,6986.29,70000,Gasolina,Individual,Manual,2º dono,22.0,1197.0,81.8,5.0,Maruti
Mahindra Scorpio 1.99 S6 Plus,2016,14383.56,58000,Diesel,Individual,Manual,1º dono,15.4,1997.0,120.0,7.0,Mahindra
Maruti Zen LXI,2005,821.92,90000,Gasolina,Individual,Manual,2º dono,17.3,993.0,60.0,5.0,Maruti
Mahindra Xylo E8 ABS Airbag,2010,4383.56,40000,Diesel,Individual,Manual,2º dono,14.0,2498.0,112.0,7.0,Mahindra
Mahindra Scorpio LX,2013,7123.29,110000,Diesel,Individual,Manual,1º dono,12.05,2179.0,120.0,9.0,Mahindra
Tata New Safari DICOR 2.2 LX 4x2,2007,3424.66,80000,Diesel,Individual,Manual,2º dono,11.57,2179.0,138.1,7.0,Tata
Maruti Vitara Brezza ZDi,2017,9931.51,60000,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Mahindra Bolero 2011-2019 SLX,2015,8013.7,50000,Diesel,Individual,Manual,1º dono,15.96,2523.0,62.1,7.0,Mahindra
Tata Tiago 1.2 Revotron XZ,2017,5890.41,25000,Gasolina,Individual,Manual,1º dono,23.84,1199.0,84.0,5.0,Tata
Maruti Swift VDI,2011,3219.18,100000,Diesel,Individual,Manual,2º dono,22.9,1248.0,74.0,5.0,Maruti
Maruti Swift Dzire VDi,2012,4794.52,52000,Diesel,Individual,Manual,3º dono,19.3,1248.0,73.9,5.0,Maruti
Hyundai i10 Era 1.1,2010,1794.52,80000,Gasolina,Individual,Manual,3º dono,19.81,1086.0,68.05,5.0,Hyundai
Honda Amaze VX i-DTEC,2016,6164.38,85000,Diesel,Individual,Manual,1º dono,25.8,1498.0,98.6,5.0,Honda
Maruti Vitara Brezza ZDi Plus,2016,10273.97,83000,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Alto 800 LXI,2013,2739.73,50000,Gasolina,Individual,Manual,1º dono,22.74,796.0,47.3,5.0,Maruti
Maruti Wagon R LXI Minor,2009,1712.33,120000,Gasolina,Individual,Manual,4º dono e acima,18.9,1061.0,67.0,5.0,Maruti
Mahindra Bolero 2011-2019 SLE,2014,6849.32,100000,Diesel,Individual,Manual,1º dono,15.96,2523.0,62.1,7.0,Mahindra
Maruti Swift VDI,2012,5205.48,70000,Diesel,Individual,Manual,3º dono,22.9,1248.0,74.0,5.0,Maruti
Maruti Alto LXi,2008,1753.42,19000,Gasolina,Individual,Manual,1º dono,19.7,796.0,46.3,5.0,Maruti
Honda City 1.5 S MT,2009,3424.66,68600,Gasolina,Individual,Manual,3º dono,17.0,1497.0,118.0,5.0,Honda
Mahindra Bolero Power Plus SLX,2017,9452.05,60000,Diesel,Individual,Manual,1º dono,16.5,1493.0,70.0,7.0,Mahindra
Mahindra Bolero 2011-2019 SLX,2014,8904.11,65000,Diesel,Individual,Manual,2º dono,15.96,2523.0,62.1,7.0,Mahindra
Honda City E,2012,7671.23,40000,Gasolina,Individual,Manual,2º dono,16.8,1497.0,116.3,5.0,Honda
Maruti Celerio VXI,2016,5479.45,25000,Gasolina,Individual,Manual,1º dono,23.1,998.0,67.04,5.0,Maruti
Maruti Alto K10 LXI,2012,2739.73,29500,Gasolina,Individual,Manual,1º dono,20.92,998.0,67.1,5.0,Maruti
Hyundai Verna VTVT 1.6 SX,2018,13013.7,13887,Gasolina,Individual,Manual,1º dono,17.0,1591.0,121.3,5.0,Hyundai
Maruti Alto 800 VXI,2016,4109.59,50000,Gasolina,Individual,Manual,2º dono,22.74,796.0,47.3,5.0,Maruti
Renault KWID RXL,2016,4315.07,30000,Gasolina,Individual,Manual,2º dono,25.17,799.0,53.3,5.0,Renault
Maruti Alto 800 LXI,2012,3013.7,100000,Gasolina,Individual,Manual,1º dono,22.74,796.0,47.3,5.0,Maruti
Chevrolet Aveo 1.4 LS,2011,1780.82,60000,Gasolina,Individual,Manual,2º dono,14.49,1399.0,92.7,5.0,Chevrolet
Hyundai i20 Sportz Option 1.4 CRDi,2016,8150.68,60000,Diesel,Individual,Manual,2º dono,22.54,1396.0,88.73,5.0,Hyundai
Tata Indica Vista TDI LS,2011,1506.85,120000,Diesel,Individual,Manual,1º dono,19.4,1405.0,70.0,5.0,Tata
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,9315.07,13500,Gasolina,Individual,Manual,1º dono,17.0,1497.0,121.36,5.0,Ford
Fiat Grande Punto Active (Diesel),2013,3835.62,52000,Diesel,Individual,Manual,1º dono,20.3,1248.0,75.0,5.0,Fiat
Maruti Baleno Delta 1.2,2017,7260.27,30000,Gasolina,Individual,Manual,2º dono,21.4,1197.0,83.1,5.0,Maruti
Hyundai Xcent 1.2 Kappa SX Option,2017,8356.16,14000,Gasolina,Individual,Manual,1º dono,19.1,1197.0,82.0,5.0,Hyundai
Tata Aria Pure LX 4x2,2014,6849.32,90000,Diesel,Individual,Manual,2º dono,15.05,2179.0,147.9,7.0,Tata
Tata Tigor 1.05 Revotorq XM,2018,6849.32,50000,Diesel,Individual,Manual,1º dono,24.7,1047.0,69.0,5.0,Tata
Mahindra Xylo D2,2010,3424.66,120000,Diesel,Individual,Manual,2º dono,13.0,2489.0,95.0,8.0,Mahindra
Hyundai EON Magna Plus,2018,4452.05,10000,Gasolina,Individual,Manual,1º dono,21.1,814.0,55.2,5.0,Hyundai
Maruti Baleno Delta 1.2,2018,7534.25,10000,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,5.0,Maruti
Maruti Ciaz 1.4 Alpha,2018,9863.01,25000,Gasolina,Individual,Manual,1º dono,20.73,1373.0,91.1,5.0,Maruti
Hyundai Verna VTVT 1.6 SX,2017,13013.7,20000,Gasolina,Individual,Manual,1º dono,17.0,1591.0,121.3,5.0,Hyundai
Maruti Swift VDI,2013,4794.52,60000,Diesel,Individual,Manual,1º dono,22.9,1248.0,74.0,5.0,Maruti
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,6849.32,40000,Gasolina,Individual,Manual,1º dono,18.9,1197.0,81.86,5.0,Hyundai
Maruti Swift Dzire VDi,2012,5205.48,60000,Diesel,Individual,Manual,1º dono,19.3,1248.0,73.9,5.0,Maruti
Hyundai Xcent 1.2 Kappa AT SX Option,2015,5205.48,50000,Gasolina,Individual,Automatico,1º dono,16.9,1197.0,82.0,5.0,Hyundai
Hyundai Verna VTVT 1.6 SX,2017,12328.77,20000,Gasolina,Individual,Manual,1º dono,17.0,1591.0,121.3,5.0,Hyundai
Maruti Alto 800 VXI,2017,4041.1,35000,Gasolina,Individual,Manual,1º dono,24.7,796.0,47.3,5.0,Maruti
Maruti Ciaz VDi Plus SHVS,2016,8767.12,40000,Diesel,Individual,Manual,1º dono,28.09,1248.0,88.5,5.0,Maruti
Tata Nexon 1.5 Revotorq XZ Plus,2018,10821.92,60000,Diesel,Individual,Manual,1º dono,21.5,1497.0,108.5,5.0,Tata
Hyundai Verna 1.6 VTVT S Option,2015,8561.64,20000,Gasolina,Individual,Manual,1º dono,17.01,1591.0,121.4,5.0,Hyundai
Ford EcoSport 1.5 Petrol Trend BSIV,2017,8273.97,30000,Gasolina,Individual,Manual,2º dono,17.0,1497.0,121.36,5.0,Ford
Maruti Alto K10 VXI,2015,4315.07,29000,Gasolina,Individual,Manual,1º dono,23.95,998.0,67.05,5.0,Maruti
Mahindra XUV300 W6 Diesel BSIV,2019,13013.7,17000,Diesel,Individual,Manual,1º dono,20.0,1497.0,115.0,5.0,Mahindra
Maruti Wagon R VXI Plus Optional,2017,5479.45,50000,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,5.0,Maruti
Hyundai i20 1.4 Magna AT,2018,9589.04,42000,Gasolina,Individual,Automatico,1º dono,18.6,1368.0,98.63,5.0,Hyundai
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,9589.04,120000,Diesel,Individual,Manual,2º dono,12.8,2494.0,102.0,8.0,Toyota
Mahindra Verito 1.5 D4 BSIV,2012,3561.64,110000,Diesel,Individual,Manual,1º dono,21.03,1461.0,65.0,5.0,Mahindra
Tata Indigo CR4,2012,2739.73,90000,Diesel,Individual,Manual,1º dono,23.57,1396.0,70.0,5.0,Tata
Maruti Dzire VXI,2020,7945.21,70000,Gasolina,Individual,Manual,1º dono,23.26,1197.0,88.5,5.0,Maruti
Volkswagen Vento IPL II Diesel Trendline,2011,4520.55,66000,Diesel,Individual,Manual,2º dono,20.5,1598.0,105.0,5.0,Volkswagen
Hyundai Verna Transform CRDi VGT SX ABS,2011,5479.45,70000,Diesel,Individual,Manual,3º dono,16.2,1493.0,110.0,5.0,Hyundai
Hyundai Creta 1.6 SX Automatic,2018,18493.15,5000,Gasolina,Individual,Automatico,1º dono,14.8,1591.0,121.3,5.0,Hyundai
Mahindra Verito 1.5 D4 BSIV,2014,3424.66,50000,Diesel,Individual,Manual,2º dono,21.03,1461.0,65.0,5.0,Mahindra
Skoda Rapid 1.6 MPI Ambition BSIV,2019,9931.51,25000,Gasolina,Individual,Manual,1º dono,15.41,1598.0,103.2,5.0,Skoda
Maruti Swift Dzire Tour LDI,2013,4109.59,70000,Diesel,Individual,Manual,1º dono,23.4,1248.0,74.0,5.0,Maruti
Maruti 800 AC,2006,1643.84,40000,Gasolina,Individual,Manual,2º dono,16.1,796.0,37.0,4.0,Maruti
Mahindra XUV500 W10 2WD,2016,16095.89,110000,Diesel,Individual,Manual,1º dono,16.0,2179.0,140.0,7.0,Mahindra
Tata New Safari DICOR 2.2 VX 4x4,2009,5205.48,150000,Diesel,Individual,Manual,1º dono,13.93,2179.0,138.0,7.0,Tata
Tata Indica Vista TDI LX,2014,5479.45,45000,Diesel,Individual,Manual,1º dono,19.1,1405.0,70.0,5.0,Tata
Tata Indigo LX,2005,1917.81,90000,Diesel,Individual,Manual,3º dono,16.1,1405.0,70.0,5.0,Tata
Tata New Safari DICOR 2.2 EX 4x2,2011,3150.67,140000,Diesel,Individual,Manual,2º dono,11.57,2179.0,138.1,7.0,Tata
Ford Ikon 1.3 CLXi,2003,1506.85,83000,Gasolina,Individual,Manual,2º dono,13.8,1299.0,70.0,5.0,Ford
Volkswagen Jetta 2.0L TDI Highline AT,2011,7534.25,106000,Diesel,Individual,Automatico,2º dono,16.96,1968.0,138.1,5.0,Volkswagen
Chevrolet Aveo U-VA 1.2 LS,2008,2054.79,60000,Gasolina,Individual,Manual,4º dono e acima,15.26,1150.0,74.9,5.0,Chevrolet
Maruti Omni E MPI STD BS IV,2017,3630.14,40000,Gasolina,Individual,Manual,2º dono,16.8,796.0,34.2,8.0,Maruti
Hyundai i20 1.2 Asta,2011,4109.59,138000,Gasolina,Individual,Manual,3º dono,17.0,1197.0,80.0,5.0,Hyundai
Maruti Alto 800 LXI,2015,3835.62,80000,Gasolina,Individual,Manual,1º dono,22.74,796.0,47.3,5.0,Maruti
Hyundai Getz GLS,2005,1780.82,50000,Gasolina,Individual,Manual,2º dono,15.3,1341.0,83.0,5.0,Hyundai
Chevrolet Sail 1.2 LS ABS,2015,4794.52,50000,Gasolina,Individual,Manual,1º dono,18.2,1199.0,82.4,5.0,Chevrolet
Maruti Ritz VXi,2009,2739.73,120000,Gasolina,Individual,Manual,1º dono,18.5,1197.0,85.8,5.0,Maruti
Maruti Swift VXI,2018,7534.25,24400,Gasolina,Individual,Manual,1º dono,22.0,1197.0,81.8,5.0,Maruti
Mahindra Bolero 2011-2019 SLX,2013,5479.45,60000,Diesel,Individual,Manual,2º dono,15.96,2523.0,62.1,7.0,Mahindra
Maruti Ritz VXi (ABS) BS IV,2010,2328.77,120000,Gasolina,Individual,Manual,2º dono,18.5,1197.0,85.8,5.0,Maruti
Hyundai Verna 1.4 CRDi,2015,8219.18,60000,Diesel,Individual,Manual,2º dono,24.8,1396.0,88.7,5.0,Hyundai
Maruti Alto LXi,2011,1780.82,100000,Gasolina,Individual,Manual,2º dono,19.7,796.0,46.3,5.0,Maruti
Maruti 800 AC,2011,1369.86,120000,Gasolina,Individual,Manual,2º dono,16.1,796.0,37.0,4.0,Maruti
Renault KWID RXT,2016,4246.58,27500,Gasolina,Individual,Manual,1º dono,25.17,799.0,53.3,5.0,Renault
Maruti 800 AC,2007,479.45,10000,Gasolina,Individual,Manual,1º dono,16.1,796.0,37.0,4.0,Maruti
Hyundai i20 Magna,2010,2739.73,120000,Gasolina,Individual,Manual,3º dono,18.5,1197.0,80.0,5.0,Hyundai
Hyundai i20 Sportz 1.4 CRDi,2015,8904.11,80000,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,5.0,Hyundai
Tata Indigo eCS GLS,2013,2876.71,120000,Gasolina,Individual,Manual,1º dono,15.64,1193.0,64.1,5.0,Tata
Hyundai Xcent 1.1 CRDi S Option,2015,6986.29,90000,Diesel,Individual,Manual,1º dono,24.4,1120.0,71.01,5.0,Hyundai
Ford Figo Diesel Celebration Edition,2013,3150.67,70000,Diesel,Individual,Manual,1º dono,20.0,1399.0,68.1,5.0,Ford
Renault Duster 110PS Diesel RxZ,2014,5616.42,188000,Diesel,Individual,Manual,2º dono,19.01,1461.0,108.45,5.0,Renault
Chevrolet Spark 1.0 LT,2011,1780.82,67840,Gasolina,Individual,Manual,1º dono,18.0,995.0,62.0,5.0,Chevrolet
Tata Nano CX,2013,1301.37,30000,Gasolina,Individual,Manual,1º dono,25.4,624.0,37.48,4.0,Tata
Maruti Alto 800 LXI,2016,3082.19,35000,Gasolina,Individual,Manual,2º dono,22.74,796.0,47.3,5.0,Maruti
Maruti Vitara Brezza VDi Option,2017,10616.44,100000,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,5.0,Maruti
Maruti Wagon R VXI BS IV,2017,5753.42,30000,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,5.0,Maruti
Hyundai Grand i10 Sportz Celebration Edition,2016,6575.34,70000,Gasolina,Individual,Manual,1º dono,18.9,1197.0,82.0,5.0,Hyundai
Mahindra Bolero SLE,2010,3561.64,380000,Diesel,Individual,Manual,2º dono,13.6,2523.0,63.0,7.0,Mahindra
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,8219.18,15000,Gasolina,Individual,Manual,1º dono,16.2,1199.0,74.0,5.0,Volkswagen
Ford Ikon 1.4 TDCi DuraTorq,2009,1917.81,140000,Diesel,Individual,Manual,2º dono,13.8,1399.0,68.0,5.0,Ford
Maruti Omni 8 Seater BSII,2010,1780.82,120000,Gasolina,Individual,Manual,3º dono,19.7,796.0,35.0,8.0,Maruti
Maruti Swift VDI BSIV,2007,2671.23,112880,Diesel,Distribuidora,Manual,1º dono,25.2,1248.0,74.0,5.0,Maruti
Tata Indica Vista TDI LS,2013,2876.71,135000,Diesel,Distribuidora,Manual,2º dono,19.4,1405.0,70.0,5.0,Tata
Maruti Wagon R LX,2006,1780.82,80000,Gasolina,Individual,Manual,3º dono,18.9,998.0,67.1,5.0,Maruti
Chevrolet Beat LT,2012,1931.51,128000,Gasolina,Individual,Manual,3º dono,18.6,1199.0,79.4,5.0,Chevrolet
Mahindra Bolero SLE BSIII,2011,3835.62,120000,Diesel,Individual,Manual,1º dono,13.6,2523.0,63.0,7.0,Mahindra
Maruti SX4 ZXI AT Leather,2010,4794.52,30000,Gasolina,Individual,Automatico,1º dono,12.6,1586.0,103.2,5.0,Maruti
Tata Nexon 1.2 Revotron XM,2018,7876.71,70000,Gasolina,Individual,Manual,1º dono,17.0,1198.0,108.5,5.0,Tata
Hyundai i20 Sportz Option 1.2,2015,7534.25,41000,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.83,5.0,Hyundai
Maruti Alto LX,2006,1643.84,30000,Gasolina,Individual,Manual,2º dono,19.7,796.0,46.3,5.0,Maruti
Maruti Alto K10 VXI,2015,4383.56,30000,Gasolina,Individual,Manual,1º dono,23.95,998.0,67.05,5.0,Maruti
Hyundai Accent Executive,2011,3424.66,35000,Gasolina,Individual,Manual,1º dono,16.36,1495.0,93.7,5.0,Hyundai
Maruti SX4 Zxi BSIII,2010,4109.59,22000,Gasolina,Individual,Manual,1º dono,15.0,1586.0,104.68,5.0,Maruti
Maruti Wagon R VXI,2006,3424.66,70000,Gasolina,Individual,Manual,1º dono,18.9,998.0,67.1,5.0,Maruti
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,10273.97,70000,Diesel,Individual,Manual,1º dono,16.5,1493.0,70.0,7.0,Mahindra
Mahindra Scorpio 2.6 CRDe,2005,2068.49,200000,Diesel,Individual,Manual,2º dono,10.5,2179.0,120.0,8.0,Mahindra
Tata Safari DICOR 2.2 EX 4x2,2011,4109.59,120000,Diesel,Individual,Manual,1º dono,13.93,2179.0,138.03,7.0,Tata
Maruti Ignis 1.2 Zeta BSIV,2019,7904.11,3000,Gasolina,Individual,Manual,1º dono,20.89,1197.0,81.8,5.0,Maruti
Maruti Alto K10 2010-2014 VXI,2012,3150.67,50000,Gasolina,Individual,Manual,1º dono,20.92,998.0,67.1,5.0,Maruti
Mahindra Bolero 2011-2019 ZLX,2013,6849.32,50000,Diesel,Individual,Manual,1º dono,15.96,2523.0,62.1,7.0,Mahindra
Honda Jazz VX CVT,2019,11506.85,1500,Gasolina,Individual,Automatico,1º dono,18.2,1199.0,88.7,5.0,Honda
Volkswagen Vento 1.5 TDI Highline,2017,12328.77,74000,Diesel,Individual,Manual,1º dono,22.27,1498.0,108.6,5.0,Volkswagen
Honda Jazz 1.2 V i VTEC,2017,8904.11,25000,Gasolina,Individual,Manual,1º dono,18.7,1199.0,88.7,5.0,Honda
Honda Jazz 1.5 VX i DTEC,2016,8904.11,61915,Diesel,Individual,Manual,1º dono,27.3,1498.0,98.6,5.0,Honda
Hyundai EON Era Plus,2016,3424.66,110000,Gasolina,Individual,Manual,1º dono,21.1,814.0,55.2,5.0,Hyundai
Volkswagen Polo 1.5 TDI Comfortline,2016,7534.25,70000,Diesel,Individual,Manual,1º dono,20.14,1498.0,88.0,5.0,Volkswagen
Maruti Swift Ldi BSIII,2007,3424.66,150000,Diesel,Individual,Manual,4º dono e acima,17.8,1248.0,75.0,5.0,Maruti
Mahindra Quanto C4,2013,4794.52,110000,Diesel,Individual,Manual,2º dono,17.21,1493.0,100.0,7.0,Mahindra
Chevrolet Beat Diesel LT,2014,2534.25,90000,Diesel,Individual,Manual,2º dono,25.44,936.0,56.3,5.0,Chevrolet
Ford Figo Petrol Titanium,2010,3150.67,120000,Gasolina,Individual,Manual,3º dono,15.6,1196.0,70.0,5.0,Ford
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,13698.63,65000,Diesel,Individual,Manual,1º dono,12.99,2494.0,100.6,8.0,Toyota
Maruti Wagon R VXI 1.2,2019,6712.33,10000,Gasolina,Individual,Manual,1º dono,20.52,1197.0,81.8,5.0,Maruti
Hyundai i10 Sportz,2009,2054.79,80000,Gasolina,Individual,Manual,2º dono,20.36,1197.0,78.9,5.0,Hyundai
Maruti Ertiga VDI,2013,8219.18,184000,Diesel,Individual,Manual,1º dono,20.77,1248.0,88.76,7.0,Maruti
Maruti Zen LXi - BS III,2005,821.92,70000,Gasolina,Individual,Manual,2º dono,17.3,993.0,60.0,5.0,Maruti
Maruti SX4 Zxi with Leather BSIII,2008,2054.79,89000,Gasolina,Individual,Manual,2º dono,15.6,1586.0,104.68,5.0,Maruti
Honda Brio Exclusive Edition,2014,4589.04,33033,Gasolina,Distribuidora,Manual,1º dono,19.4,1198.0,86.8,5.0,Honda
Maruti Swift VDI,2013,7191.78,69000,Diesel,Individual,Manual,2º dono,22.9,1248.0,74.0,5.0,Maruti
Hyundai Grand i10 AT Asta,2015,6369.86,63063,Gasolina,Distribuidora,Automatico,1º dono,18.9,1197.0,82.0,5.0,Hyundai
Tata Indica V2 eLX,2012,1136.99,90000,Diesel,Individual,Manual,2º dono,25.0,1396.0,69.0,5.0,Tata
Hyundai EON Era Plus,2017,4109.59,8000,Gasolina,Individual,Manual,1º dono,21.1,814.0,55.2,5.0,Hyundai
Hyundai i20 1.2 Sportz,2012,4794.52,35000,Gasolina,Individual,Manual,1º dono,17.0,1197.0,80.0,5.0,Hyundai
Hyundai i20 1.2 Sportz,2011,4109.59,45000,Gasolina,Individual,Manual,1º dono,17.0,1197.0,80.0,5.0,Hyundai
Fiat Linea 1.3 Active,2011,3424.66,30000,Diesel,Individual,Manual,1º dono,20.4,1248.0,91.2,5.0,Fiat
Maruti 800 Std,2006,1575.33,59000,Gasolina,Individual,Manual,2º dono,16.1,796.0,37.0,4.0,Maruti
Maruti Ertiga VXI Petrol,2018,9589.04,6200,Gasolina,Individual,Manual,1º dono,19.34,1462.0,103.0,7.0,Maruti
Maruti Celerio X ZXI,2020,3424.66,120000,Gasolina,Individual,Manual,2º dono,21.63,998.0,67.0,5.0,Maruti
Maruti Wagon R LXI BS IV,2016,4794.52,70000,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,5.0,Maruti
Maruti Omni 5 Str STD,1998,1095.89,70000,Gasolina,Individual,Manual,1º dono,14.0,796.0,35.0,5.0,Maruti
Mahindra Scorpio S2 7 Seater,2017,11643.84,110000,Diesel,Individual,Manual,1º dono,15.4,2523.0,75.0,7.0,Mahindra
Chevrolet Spark 1.0 LS,2007,1232.88,93000,Gasolina,Individual,Manual,3º dono,18.0,995.0,62.0,5.0,Chevrolet
Chevrolet Tavera Neo 3 10 Seats BSIII,2014,8219.18,110000,Diesel,Individual,Manual,1º dono,13.58,2499.0,72.4,10.0,Chevrolet
Maruti Alto LX,2007,1849.32,57000,Gasolina,Individual,Manual,1º dono,19.7,796.0,46.3,5.0,Maruti
Hyundai Accent GLE,2005,2054.79,120000,Gasolina,Individual,Manual,1º dono,13.2,1495.0,94.0,5.0,Hyundai
Tata Indigo CS eLX BS IV,2012,3547.95,35000,Diesel,Individual,Manual,1º dono,23.03,1396.0,69.0,5.0,Tata
Tata Indigo CS eLS BS IV,2012,3013.7,90000,Diesel,Individual,Manual,1º dono,23.03,1396.0,69.0,5.0,Tata
Tata Indigo eCS LX BSIV,2012,3369.86,35000,Diesel,Individual,Manual,2º dono,23.03,1396.0,69.0,5.0,Tata
Maruti Swift Dzire VXi,2009,3287.67,120000,Gasolina,Individual,Manual,1º dono,17.5,1298.0,85.8,5.0,Maruti
Hyundai Creta 1.4 E Plus,2018,12958.9,60000,Diesel,Individual,Manual,1º dono,22.1,1396.0,88.7,5.0,Hyundai
